"origin_date","horizon","target_end_date","output_type_id","value","output_type","target","location"
2024-11-06,1,2024-11-03,0.3,5480.2,"quantile","ILI incidence","MT"
2024-11-06,1,2024-11-03,0.35,5489,"quantile","ILI incidence","MT"
2024-11-06,1,2024-11-03,0.4,5492,"quantile","ILI incidence","MT"
2024-11-06,1,2024-11-03,0.45,5499.1,"quantile","ILI incidence","MT"
2024-11-06,1,2024-11-03,0.5,5505,"quantile","ILI incidence","MT"
2024-11-06,1,2024-11-03,0.55,5510.45,"quantile","ILI incidence","MT"
2024-11-06,1,2024-11-03,0.6,5524,"quantile","ILI incidence","MT"
2024-11-06,1,2024-11-03,0.65,5529,"quantile","ILI incidence","MT"
2024-11-06,1,2024-11-03,0.7,5538.8,"quantile","ILI incidence","MT"
2024-11-06,1,2024-11-03,0.75,5548,"quantile","ILI incidence","MT"
2024-11-06,1,2024-11-03,0.8,5556.8,"quantile","ILI incidence","MT"
2024-11-06,1,2024-11-03,0.85,5573.15,"quantile","ILI incidence","MT"
2024-11-06,1,2024-11-03,0.9,5587.2,"quantile","ILI incidence","MT"
2024-11-06,1,2024-11-03,0.95,5615.3,"quantile","ILI incidence","MT"
2024-11-06,1,2024-11-03,0.975,5636.05,"quantile","ILI incidence","MT"
2024-11-06,1,2024-11-03,0.99,5651.09,"quantile","ILI incidence","MT"
2024-11-06,1,2024-11-03,0.01,17.99,"quantile","ILI incidence","NL"
2024-11-06,1,2024-11-03,0.025,18.475,"quantile","ILI incidence","NL"
2024-11-06,1,2024-11-03,0.05,19.95,"quantile","ILI incidence","NL"
2024-11-06,1,2024-11-03,0.1,21,"quantile","ILI incidence","NL"
2024-11-06,1,2024-11-03,0.15,21.85,"quantile","ILI incidence","NL"
2024-11-06,1,2024-11-03,0.2,23,"quantile","ILI incidence","NL"
2024-11-06,1,2024-11-03,0.25,24,"quantile","ILI incidence","NL"
2024-11-06,1,2024-11-03,0.3,24.7,"quantile","ILI incidence","NL"
2024-11-06,1,2024-11-03,0.35,25,"quantile","ILI incidence","NL"
2024-11-06,1,2024-11-03,0.4,26,"quantile","ILI incidence","NL"
2024-11-06,1,2024-11-03,0.45,26,"quantile","ILI incidence","NL"
2024-11-06,1,2024-11-03,0.5,27,"quantile","ILI incidence","NL"
2024-11-06,1,2024-11-03,0.55,28,"quantile","ILI incidence","NL"
2024-11-06,1,2024-11-03,0.6,28.4,"quantile","ILI incidence","NL"
2024-11-06,1,2024-11-03,0.65,29,"quantile","ILI incidence","NL"
2024-11-06,1,2024-11-03,0.7,30,"quantile","ILI incidence","NL"
2024-11-06,1,2024-11-03,0.75,31,"quantile","ILI incidence","NL"
2024-11-06,1,2024-11-03,0.8,32,"quantile","ILI incidence","NL"
