target,location,target_end_date,horizon,output_type,output_type_id,value,origin_date
ARI incidence,BG,2024-11-03,3,quantile,0.95,1504.0130578924454,2024-10-23
ARI incidence,BG,2024-11-10,4,quantile,0.95,1719.2254806869316,2024-10-23
ARI incidence,BG,2024-10-20,1,quantile,0.975,1336.8888496148306,2024-10-23
ARI incidence,BG,2024-10-27,2,quantile,0.975,1445.4502261952655,2024-10-23
ARI incidence,BG,2024-11-03,3,quantile,0.975,1656.147994863481,2024-10-23
ARI incidence,BG,2024-11-10,4,quantile,0.975,1927.8756238846968,2024-10-23
ARI incidence,BG,2024-10-20,1,quantile,0.99,1478.7359665305767,2024-10-23
ARI incidence,BG,2024-10-27,2,quantile,0.99,1679.128580577433,2024-10-23
ARI incidence,BG,2024-11-03,3,quantile,0.99,1850.9795625871031,2024-10-23
ARI incidence,BG,2024-11-10,4,quantile,0.99,2335.6590196686852,2024-10-23
ARI incidence,BG,2024-10-20,1,median,,744.6014488848061,2024-10-23
ARI incidence,BG,2024-10-27,2,median,,793.3566107294561,2024-10-23
ARI incidence,BG,2024-11-03,3,median,,898.0193032886257,2024-10-23
ARI incidence,BG,2024-11-10,4,median,,1058.3317282270195,2024-10-23
ARI incidence,CZ,2024-10-20,1,quantile,0.01,700.0512082155834,2024-10-23
ARI incidence,CZ,2024-10-27,2,quantile,0.01,746.8700282880723,2024-10-23
ARI incidence,CZ,2024-11-03,3,quantile,0.01,742.1363189529321,2024-10-23
ARI incidence,CZ,2024-11-10,4,quantile,0.01,733.9716688224756,2024-10-23
ARI incidence,CZ,2024-10-20,1,quantile,0.025,786.3914395263789,2024-10-23
ARI incidence,CZ,2024-10-27,2,quantile,0.025,816.3544756816362,2024-10-23
ARI incidence,CZ,2024-11-03,3,quantile,0.025,812.5629135487396,2024-10-23
ARI incidence,CZ,2024-11-10,4,quantile,0.025,796.4546316785155,2024-10-23
ARI incidence,CZ,2024-10-20,1,quantile,0.05,838.9835379100648,2024-10-23
ARI incidence,CZ,2024-10-27,2,quantile,0.05,864.0719308582597,2024-10-23
ARI incidence,CZ,2024-11-03,3,quantile,0.05,870.8374110608556,2024-10-23
ARI incidence,CZ,2024-11-10,4,quantile,0.05,874.9789888986468,2024-10-23
ARI incidence,CZ,2024-10-20,1,quantile,0.1,918.8496383442177,2024-10-23
ARI incidence,CZ,2024-10-27,2,quantile,0.1,940.5544340693793,2024-10-23
ARI incidence,CZ,2024-11-03,3,quantile,0.1,959.6571725703399,2024-10-23
ARI incidence,CZ,2024-11-10,4,quantile,0.1,948.4033726640492,2024-10-23
ARI incidence,CZ,2024-10-20,1,quantile,0.15,961.963782213729,2024-10-23
ARI incidence,CZ,2024-10-27,2,quantile,0.15,996.3363001873781,2024-10-23
ARI incidence,CZ,2024-11-03,3,quantile,0.15,1013.648248401751,2024-10-23
ARI incidence,CZ,2024-11-10,4,quantile,0.15,1000.1347098614435,2024-10-23
ARI incidence,CZ,2024-10-20,1,quantile,0.2,1024.8329107048037,2024-10-23
ARI incidence,CZ,2024-10-27,2,quantile,0.2,1047.9589266741225,2024-10-23
ARI incidence,CZ,2024-11-03,3,quantile,0.2,1055.6643221711736,2024-10-23
ARI incidence,CZ,2024-11-10,4,quantile,0.2,1040.9411348186693,2024-10-23
ARI incidence,CZ,2024-10-20,1,quantile,0.25,1054.5194896476519,2024-10-23
ARI incidence,CZ,2024-10-27,2,quantile,0.25,1086.4183834450773,2024-10-23
